URL,Arquivo,Linha,Texto,Contexto
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85360691#Detalhamento-dos-Tipos-de-Contato","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",119,"Detalhamento dos tipos de contato","a definição dos tipos de contatos no diretório em [Detalhamento dos tipos de contato](https://openfi"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/82936000/1.+Acessando+uma+Organisation#04.Detalhamento-dos-Campos","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",34,"TAG “Habilitação de iniciação de pagamento”","-   Adição: Nova funcionalidade no diretório, [TAG “Habilitação de iniciação de pagamento”](http"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85360758/10.+Cadastrando+recursos+de+uma+API#Etapa-3:-Removendo-um-Recurso-de-uma-API","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",39,"ETAPA 3: Removendo um recurso de uma API","etalhamento-dos-Campos)       1.2.13  -   Adição: [ETAPA 3: Removendo um recurso de uma API](https:/"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/82936000/1.+Acessando+uma+Organisation#CADASTRAMENTO-DE-CONGLOMERADO","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",50,"Cadastramento de Conglomerado","-   Adição: foi adicionado no rodapé do slide [Cadastramento de Conglomerado](https://openfinanc"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85196857/09.+Cadastrando+um+Authorisation+Server#08.Detalhamento-dos-Campos","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",66,"Cadastrando um Authorisation Server","erver agora é obrigatório, para maiores detalhes  [Cadastrando um Authorisation Server](https://open"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85196857/09.+Cadastrando+um+Authorisation+Server#08.Detalhamento-dos-Campos","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",105,"Cadastrando um Authorisation Server","os Customer Friendly Server Name e Description em [Cadastrando um Authorisation Server](https://open"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85360758/10.+Cadastrando+recursos+de+uma+API#Cadastramento-de-Recursos---Fase-4A","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",114,"Cadastramento de Recursos Fase 4A","stramento de recursos com certificação automática [Cadastramento de Recursos Fase 4A](https://openfi"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85295271/12.+Criando+um+Software+Statements#10.Detalhamento-dos-Campos","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",131,"Criando um Software Statements","nt URI e retirada dos campos (mode e environment) [Criando um Software Statements](https://openfinan"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85295271/12.+Criando+um+Software+Statements#10.Detalhamento-dos-Campos","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",160,"Authorisation Server","i alterado o detalhamento do campo “Descrição” do [Authorisation Server](https://openfinancebrasil.a"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85360721/03.+Cadastrando+reivindica+es+de+autoridade#SISTEMAS-E-FUNÇÕES-DE-UM-USUÁRIO/CONTATO","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",133,"Cadastrando reivindicações de autoridade","Ponto de atenção sobre usuários de plataformas em [Cadastrando reivindicações de autoridade](https:/"
